primeval,petrified
forsaken,thou
plucked,pluck
favour,favor
received,receiving
firmly,keeping
reminded,remind
according,report
favourable,negative
inquired,inquire
consulted,consult
obeyed,obey
regretting,regret
leant,ruminate
judging,selection
rightly,ought
dont,presume
fairly,quite
grieve,mourn
promptly,immediately
hesitated,hesitant
admirer,supporter
admirers,admiration
saluting,salute
acclaim,praise
passes,pass
clapped,clapping
grew,grown
richest,wealthy
shrugging,shrug
drinker,smoker
plunged,plunge
gloomily,aghast
confessed,confess
lowering,raising
concluded,conclude
belonged,belong
arrived,arriving
phew,ugh
balderdash,bullshit
scatterbrain,backstabber
rheumatism,arthritis
realised,realize
owning,ownership
helps,help
reasons,reason
owns,owner
retorted,indignant
grumpily,grouchy
belongs,belong
administer,oversee
recount,counting
opened,opening
altogether,entirely
accommodate,seating
lamplighter,crabby
couldnt,reckon
bringing,bring
puts,comes
sends,send
serves,serve
respectfully,disagree
saluted,salute
sponged,inbetween
changed,changing
turned,turn
spins,spinning
lasts,duration
strides,stride
doesnt,presume
despised,adored
thinks,think
breathed,sigh
missed,misses
wrote,written
sat,sitting
panted,leotards
travelled,traveling
geographer,linguist
seas,sea
rivers,river
towns,town
deserts,arid
glanced,crease
oceans,ocean
wouldnt,doubtless
strolling,stroll
receives,receive
explorers,explorer
asks,ask
writes,journal
recollections,memories
drank,drink
appears,appear
requires,require
became,becoming
sharpened,sharpen
recitals,piano
recorded,album
waits,waiting
provided,provide
recording,studio
prettiest,adorable
ephemeral,fleeting
dated,dating
changes,change
empties,river
itself,it
imminent,inevitable
disappearance,abduction
seventh,sixth
negro,baseball
geographers,geography
businessmen,politicians
drinkers,drink
continents,continent
veritable,gigantic
sixty,forty
lighters,cigarette
movements,movement
regulated,regulate
lamplighters,backstabber
zealand,australia
lamps,lamp
alight,burned
siberia,alaska
indies,cricket
bends,curves
islet,islands
started,start
stirred,stir
courteously,courteous
gazed,gazing
riddles,riddle
crossed,crossing
nondescript,drab
politely,polite
climbed,slipped
happened,happen
walked,walk
sands,sand
dwellings,dwelling
stunned,shocked
appeared,appear
proposed,proposal
tamed,tame
foxes,rabbits
kinds,variety
hunters,hunting
sighed,sigh
footsteps,grandfather
hurrying,hurried
blowing,blown
understands,understand
tames,slutty
misunderstandings,misunderstanding
nearer,closer
happier,happy
rites,ritual
thursdays,noon
vineyards,grapes
danced,dancing
wished,wish
passer,quarterback
sees,says
switchman,coworker
travelers,travel
packs,pack
dispatch,send
brilliantly,brilliant
rumbling,roar
thundered,roar
weren,alot
chasing,chase
squashing,escargot
noses,nose
becomes,become
created,create
experts,expert
calculations,calculation
eighth,sixth
considers,consider
weariness,unhappiness
immensity,emptiness
folds,folded
radiates,radiant
hides,hide
enchantment,magical
depths,depth
moved,moving
locks,lock
trembled,tremble
parted,lips
shines,shine
reached,reach
wells,oil
mere,just
pulley,rope
moaned,moaning
weathervane,unicycle
hoisted,flags
trembling,shaking
produced,produce
sketches,sketch
cabbages,cabbage
pang,fang
occurred,incident
landed,landing
hesitantly,hesitant
reassured,reassure
meters,meter
froze,freeze
skipped,skipping
lowered,raised
leapt,slipped
loosened,loosen
muffler,exhaust
wore,worn
moistened,crumbly
temples,temple
sadly,forgotten
tightly,tight
plummeting,tumbling
abyss,precipice
waited,waiting
reviving,restart
irreparable,harm
guides,guide
scholars,scholar
heals,heal
played,playing
determinedly,easygoing
springs,creek
falls,fall
companions,companion
ate,eaten
shuts,shut
watches,watch
herein,materials
yourselves,yourself
properly,fully
disappeared,missing
laughs,laugh
questioned,questioning
